name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
sigma.contrast.cell_grand,3,16.5520880178723,13.3020929969561,25.8275881932403,12.5188162792417,22.6319937289019,1,8.32447682991502e-07,<0.001***,8.65745590311162e-05,<0.001***,8.57421113481247e-05,<0.001***,4.32872795155581e-05,<0.001***,6106,0.217638931254857,0.0501402395030301
sigma.precision.prev_main(L1-L2),3,0.489201424469833,-1.29951027129301,1.75608103594248,-1.21039821133799,1.80679316759392,0,0.508768720395181,0.509,1,1.000,1,1.000,0.739871727380412,0.740,8738,0.0209426917091496,-0.029085905069326
sigma.precision.prev_main(L1-L3),3,0.830082273631808,-0.419800402321098,2.24063677416347,-0.352164566618428,2.33023003578784,0,0.197223643424869,0.197,1,1.000,1,1.000,0.366272480646186,0.366,8960,-0.0736427638642931,0.0133261990434829
sigma.precision.prev_main(L2-L3),3,0.340880849161975,-1.61110092252708,2.34293765381762,-1.39277809079368,2.57781249332396,0,0.793871123656541,0.794,1,1.000,1,1.000,0.887769858712691,0.888,8387,-0.118178989030686,0.0055027141912847
sigma.precision.curr_main(L1-L2),3,-0.120221254997102,-1.50278003939293,2.96391784360632,-1.8523755638129,2.17289388319657,0,0.983011745625069,0.983,1,1.000,1,1.000,0.983011745625069,0.983,8274,0.110499134320077,0.070991249971644
sigma.precision.curr_main(L1-L3),3,-2.35685918382782,-5.40279999888101,-1.09232921955019,-4.94095886204557,-0.993008277441119,1,8.73260697484834e-05,<0.001***,0.00908191125384228,0.009**,0.00881993304459683,0.009**,0.00227047781346057,0.002**,9568,-0.0332776491793599,-0.0325473459392499
sigma.precision.curr_main(L2-L3),3,-2.23663792883072,-5.98534438679669,-0.473963106884297,-5.45992083248704,-0.255880460748406,1,0.00974611263696201,0.010**,1,1.000,0.916134587874429,0.916,0.0882745284460797,0.088,8418,-0.0748100033104364,-0.0254026285302194
sigma.precision.diag(L1L1-L2L2),3,0.942296703618561,-1.72207491872451,3.73323670790268,-1.99182163349364,3.50934358501173,0,0.432661878478272,0.433,1,1.000,1,1.000,0.671594557637914,0.672,9034,0.11959488288001,-0.0204694052182009
sigma.precision.diag(L1L1-L3L3),3,-1.81713622927182,-5.23612431394747,0.36921693011492,-5.35598196849722,0.315405894452964,0,0.119017711336844,0.119,1,1.000,1,1.000,0.330998313869175,0.331,9970,0.00955399433478157,0.00929435913740267
sigma.precision.diag(L2L2-L3L3),3,-2.75943293289039,-8.21329094543446,0.908071065392215,-7.61632781181019,1.25171927530424,0,0.156414547759171,0.156,1,1.000,1,1.000,0.336546479824377,0.337,9049,-0.0883412161146199,-0.00721336830589969
sigma.precision.offdiag(L1L2-L2L1),3,1.13005209744643,-4.23467423706635,4.82541679172502,-3.95293790542089,4.99236002553282,0,0.547626302349378,0.548,1,1.000,1,1.000,0.748953274746081,0.749,9698,0.0222301285606437,-0.0318054024698444
sigma.precision.offdiag(L1L3-L3L1),3,2.66631203948013,0.34419976803341,9.52755256974447,-0.168806082058446,7.19429236142562,1,0.0202887450283446,0.020*,1,1.000,1,1.000,0.108237787401068,0.108,9721,0.114610012237811,0.0632291988397916
sigma.precision.offdiag(L2L3-L3L2),3,3.0981481959722,-0.415974729157924,7.97848607220603,-0.155275577580821,8.50759291875065,0,0.0820129509991083,0.082,1,1.000,1,1.000,0.255280502093257,0.255,9359,-0.0537259066988553,-0.010337896176379
