subject_id,cell,param,influence,influence_abs
006,14,beta,-0.0400089059548678,0.0400089059548678
006,15,A,0.442695284302657,0.442695284302657
006,15,w,0.00106592963161942,0.00106592963161942
006,15,sigma,-0.247810249400086,0.247810249400086
006,15,beta,0.0847931490571588,0.0847931490571588
006,16,A,2.0463384459422,2.0463384459422
006,16,w,-0.116182638642085,0.116182638642085
006,16,sigma,-0.527892697205544,0.527892697205544
006,16,beta,0.0177094190369638,0.0177094190369638
006,17,A,0.318856900273832,0.318856900273832
006,17,w,0.00220236680179729,0.00220236680179729
006,17,sigma,-0.256887462297405,0.256887462297405
006,17,beta,-0.0807555047196015,0.0807555047196015
006,18,A,0.149017335464507,0.149017335464507
006,18,w,0.00116024999459318,0.00116024999459318
006,18,sigma,-1.74560256103603,1.74560256103603
006,18,beta,0.34502137311403,0.34502137311403
007,1,A,-0.105366689630078,0.105366689630078
007,1,w,0.00218921658555859,0.00218921658555859
007,1,sigma,-1.22197886995545,1.22197886995545
007,1,beta,0.3902200759221,0.3902200759221
007,2,A,-0.611896629011202,0.611896629011202
007,2,w,0.00150414150465126,0.00150414150465126
007,2,sigma,-0.59110100572029,0.59110100572029
007,2,beta,0.0705612509374876,0.0705612509374876
007,3,A,0.0990024374778233,0.0990024374778233
007,3,w,-0.000146300483430707,0.000146300483430707
007,3,sigma,-0.979467051258073,0.979467051258073
007,3,beta,0.166404677604802,0.166404677604802
007,4,A,0.0933430617583602,0.0933430617583602
007,4,w,0.000218820530530271,0.000218820530530271
007,4,sigma,-0.696156797545111,0.696156797545111
007,4,beta,0.0830972142911154,0.0830972142911154
007,5,A,-0.686975912862446,0.686975912862446
007,5,w,-0.000102298252138998,0.000102298252138998
007,5,sigma,-0.845140604345151,0.845140604345151
007,5,beta,0.524400620162015,0.524400620162015
007,6,A,-0.512481557171257,0.512481557171257
007,6,w,-0.000979310341575359,0.000979310341575359
007,6,sigma,-1.83757560813396,1.83757560813396
007,6,beta,0.447357605735866,0.447357605735866
007,7,A,-0.294595966557487,0.294595966557487
007,7,w,0.001654245039148,0.001654245039148
007,7,sigma,-0.864502826159292,0.864502826159292
007,7,beta,-0.139920687989895,0.139920687989895
007,8,A,-0.52010544911707,0.52010544911707
007,8,w,0.000307437489376668,0.000307437489376668
007,8,sigma,-1.29655327015495,1.29655327015495
007,8,beta,0.00135809503897599,0.00135809503897599
007,9,A,-0.66953288979026,0.66953288979026
007,9,w,-0.000335652664588969,0.000335652664588969
007,9,sigma,-1.07810146576453,1.07810146576453
007,9,beta,0.384613934165688,0.384613934165688
007,10,A,-0.600641331989341,0.600641331989341
007,10,w,0.000127326019561103,0.000127326019561103
007,10,sigma,-0.679188563973181,0.679188563973181
007,10,beta,-0.171192472725825,0.171192472725825
007,11,A,-0.141511663292857,0.141511663292857
007,11,w,-0.000625653726821784,0.000625653726821784
007,11,sigma,-0.784648092726929,0.784648092726929
007,11,beta,0.306063302373951,0.306063302373951
007,12,A,-0.363361311946562,0.363361311946562
007,12,w,-0.000651467382914613,0.000651467382914613
007,12,sigma,-0.553193830627787,0.553193830627787
007,12,beta,0.0484668653507674,0.0484668653507674
007,13,A,-0.492015926681791,0.492015926681791
007,13,w,-0.00137739320499555,0.00137739320499555
007,13,sigma,-0.973857350111121,0.973857350111121
007,13,beta,0.0021698585876927,0.0021698585876927
007,14,A,0.0527446837390002,0.0527446837390002
007,14,w,0.000359858952589078,0.000359858952589078
007,14,sigma,-1.03494126796249,1.03494126796249
007,14,beta,0.0853155705433628,0.0853155705433628
007,15,A,-0.0636673625614375,0.0636673625614375
007,15,w,-0.000133595058770437,0.000133595058770437
007,15,sigma,-0.723344618482493,0.723344618482493
007,15,beta,0.173555600251833,0.173555600251833
007,16,A,-0.651216810551777,0.651216810551777
007,16,w,0.000776396402590876,0.000776396402590876
007,16,sigma,-0.858690769571787,0.858690769571787
007,16,beta,0.12763454124133,0.12763454124133
007,17,A,0.0785573209198551,0.0785573209198551
007,17,w,0.00351009278105962,0.00351009278105962
007,17,sigma,-1.14071999189912,1.14071999189912
007,17,beta,0.281370404753355,0.281370404753355
007,18,A,-0.29332982600368,0.29332982600368
007,18,w,-0.000691921641910384,0.000691921641910384
007,18,sigma,-0.862115581725543,0.862115581725543
007,18,beta,0.136618459113638,0.136618459113638
008,1,A,-0.286850693082895,0.286850693082895
008,1,w,-0.00136752235412595,0.00136752235412595
008,1,sigma,1.3880474919209,1.3880474919209
008,1,beta,-0.229118416668887,0.229118416668887
008,2,A,0.610833395590454,0.610833395590454
008,2,w,0.00365547382098255,0.00365547382098255
008,2,sigma,1.52202235199491,1.52202235199491
008,2,beta,-0.255749513190064,0.255749513190064
008,3,A,0.32942452164691,0.32942452164691
008,3,w,0.00200622908885085,0.00200622908885085
008,3,sigma,2.15510308866654,2.15510308866654
008,3,beta,-0.0720282100599961,0.0720282100599961
008,4,A,-0.465219639061543,0.465219639061543
008,4,w,-0.00103583802803406,0.00103583802803406
008,4,sigma,2.3056007144633,2.3056007144633
008,4,beta,-0.316158939709415,0.316158939709415
008,5,A,0.244247219284807,0.244247219284807
008,5,w,0.000344261498163478,0.000344261498163478
008,5,sigma,1.67271973591646,1.67271973591646
008,5,beta,0.0791819833225444,0.0791819833225444
008,6,A,0.179960283937667,0.179960283937667
008,6,w,0.000162919134238451,0.000162919134238451
008,6,sigma,2.6168412887063,2.6168412887063
008,6,beta,-0.4509392839541,0.4509392839541
008,7,A,-1.06877024200748,1.06877024200748
008,7,w,-0.000707915681221111,0.000707915681221111
008,7,sigma,1.43551722893452,1.43551722893452
008,7,beta,0.0183348033301542,0.0183348033301542
008,8,A,0.1399712595608,0.1399712595608
008,8,w,-0.000544741142743794,0.000544741142743794
008,8,sigma,2.0576421762871,2.0576421762871
008,8,beta,0.0644714942266188,0.0644714942266188
008,9,A,0.681397542440297,0.681397542440297
008,9,w,0.00191355980875455,0.00191355980875455
008,9,sigma,2.2862601231966,2.2862601231966
008,9,beta,-0.00461183447003155,0.00461183447003155
008,10,A,-0.105050150226091,0.105050150226091
008,10,w,0.00130434125675231,0.00130434125675231
008,10,sigma,1.69309032127029,1.69309032127029
008,10,beta,-0.260504757861248,0.260504757861248
008,11,A,0.303170690818931,0.303170690818931
008,11,w,0.000809587105910167,0.000809587105910167
008,11,sigma,2.41254941361749,2.41254941361749
