lambda,cond_manipulation,cond_prev,cond_curr,A,w,fwhm,sigma,beta,exit_flag
0.05,contrast,1,3,8.8801457882387,0.0309730557476862,53.7599272051092,24.8642236547326,-1.78846964612658,2
0.05,contrast,2,1,5.98307515679747,0.0182693897546688,91.142027439087,23.5687256019156,-2.44354991559455,2
0.05,contrast,2,2,8.750472640915,0.0245445225296101,67.8403590987209,22.0789504010198,-1.675838431035,2
0.05,contrast,2,3,7.9366827626458,0.0276777080354175,60.160661431382,25.6584971215353,-2.26612501162811,2
0.05,contrast,3,1,7.03145708762751,0.0188630362875705,88.2736584360276,23.0159845752443,-2.78384053147675,2
0.05,contrast,3,2,9.35215123186936,0.0192395773018328,86.5460397696354,24.4673656229444,-2.69460888230742,2
0.05,contrast,3,3,6.99883052787235,0.0269630166784249,61.7553014254436,23.7201111725319,-1.11105079656139,2
0.05,precision,1,1,6.48574529171575,0.0314119599250862,53.0087656512515,20.7726215408896,-2.05075435175359,2
0.05,precision,1,2,9.11142336736832,0.0240949613660143,69.1061171263805,24.8216910727858,-2.10439359211984,2
0.05,precision,1,3,8.97013948682355,0.0227847797320452,73.0798911333576,25.552433297876,-0.492327753819496,2
0.05,precision,2,1,8.50037466227976,0.0316530850440935,52.6049584107161,23.6792739095751,-2.6592528466846,2
0.05,precision,2,2,6.67590660935716,0.0234282227497401,71.0727928491232,20.7124327544978,-2.08938784226601,2
0.05,precision,2,3,8.31989662547616,0.0240676159572735,69.1846348749877,27.3247566008884,-1.58096437650485,2
0.05,precision,3,1,5.35802496108855,0.0292820192922988,56.8645627097624,21.8437360502344,-3.52932214838254,2
0.05,precision,3,2,5.6103124112415,0.0302235907922253,55.0930309294595,21.7182413221737,-2.86211878139175,2
0.05,precision,3,3,10.063740835728,0.0250231249271123,66.5428169809146,25.0257023780063,-0.509475282193764,2
0.1,contrast,1,1,6.13870970553232,0.0270259022820104,61.6116052274696,19.2112712441492,-2.72421301746274,2
0.1,contrast,1,2,7.29873332232589,0.0255486460603791,65.1740690438249,21.2599068696252,-2.34671236907954,2
0.1,contrast,1,3,8.91928792518985,0.0311028964712852,53.5355034812484,23.3332139209426,-1.79076010788454,2
0.1,contrast,2,1,6.00289349291405,0.0182618618537368,91.1795979868654,22.1397357899002,-2.45792636856637,2
0.1,contrast,2,2,8.74748216347868,0.0245496241931471,67.8262611767475,20.7186845711638,-1.68577460288025,2
0.1,contrast,2,3,7.94910212483101,0.0276301842919159,60.2641373913157,24.0774533333686,-2.26455443959316,2
0.1,contrast,3,1,7.0607583175394,0.0189256132760994,87.9817841579913,21.5496259724028,-2.78272729629184,2
0.1,contrast,3,2,9.38540475076031,0.0192827513498171,86.3522633315079,22.9194896042287,-2.70450484215389,2
0.1,contrast,3,3,7.00993153035598,0.026920508308256,61.8528150824232,22.2920245481011,-1.11037632128396,2
0.1,precision,1,1,6.52255447913908,0.0315080280531012,52.847141671613,19.4254250828902,-2.05028370954078,2
