name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
A.contrast.offdiag(L1L3-L3L1),1,1.88974555765826,-1.25850189459671,9.52674703899865,-2.45028052494088,6.53078947714798,0,0.221451530243428,0.221,1,1.000,1,1.000,0.383849319088609,0.384,3984,0.288988260219625,0.0151734661706693
A.contrast.offdiag(L2L3-L3L2),1,-1.52807455571535,-7.17036973439885,0.603454165589701,-5.57525022800353,1.1204261439209,0,0.175237725636843,0.175,1,1.000,1,1.000,0.350475451273686,0.350,4364,-0.0833827498098302,-0.0559483122836201
A.contrast.cell_grand,1,7.69381126769362,5.92339492869665,9.17185055631699,6.58604071640105,10.3154066590409,1,0.0119792408541732,0.012*,0.311460262208504,0.311,0.275522539645984,0.276,0.077865065552126,0.078,2707,-0.497075835331583,0.0152459151643336
A.precision.prev_main(L1-L2),1,0.207766180191888,-1.49719045097271,2.2973849859675,-1.69281883910037,2.0199606499059,0,0.778650074625974,0.779,1,1.000,1,1.000,0.880213127838057,0.880,4095,0.058490721067537,0.0173734888964559
A.precision.prev_main(L1-L3),1,1.12058653376296,-0.367893055296493,3.16378633490472,-0.523243723247073,2.90134507721963,0,0.137369304353001,0.137,1,1.000,1,1.000,0.324691083016185,0.325,3849,0.0478845383223814,0.0201231981301156
A.precision.prev_main(L2-L3),1,0.912820353571068,-1.84906260604165,2.8793367078924,-1.47380624848778,3.24356193419261,0,0.523110317271469,0.523,1,1.000,1,1.000,0.800051073474011,0.800,3620,-0.0713817641892414,-0.034160701728309
A.precision.curr_main(L1-L2),1,-0.210481733780278,-2.51171603115616,3.06833305427375,-2.94681438929477,2.5437227752616,0,0.993034612838164,0.993,1,1.000,1,1.000,0.99427833750326,0.994,3639,0.152474297936936,0.0132204608076476
A.precision.curr_main(L1-L3),1,-2.19180165118399,-4.4291246284715,0.0749266062918252,-4.49328503181619,-0.0303113972275342,0,0.0542319873938129,0.054,1,1.000,1,1.000,0.176253959029892,0.176,3790,-0.00198413977782416,0.0147587969458523
A.precision.curr_main(L2-L3),1,-1.98131991740371,-4.57919944000893,-0.0650667965134458,-4.32030504750191,0.174263201644099,1,0.042126495744452,0.042*,1,1.000,0.842529914889041,0.843,0.156469841336536,0.156,4079,-0.121667264364324,0.013741638892948
A.precision.diag(L1L1-L2L2),1,-0.172669596764158,-2.62682749193428,3.48518263701558,-3.09691234229935,2.94748673810508,0,0.99427833750326,0.994,1,1.000,1,1.000,0.99427833750326,0.994,4549,0.129577863829886,-0.000192519525520554
A.precision.diag(L1L1-L3L3),1,-3.50069546904879,-5.52309728868162,-1.64305380633569,-5.14815978782263,-1.05354574679141,1,0.0102240455216152,0.010*,0.265825183561994,0.266,0.245377092518764,0.245,0.077865065552126,0.078,4961,-0.15088744678319,-0.0021095930131089
A.precision.diag(L2L2-L3L3),1,-3.32802587228463,-5.99736545568022,-1.14245158526548,-5.58245806464749,-0.668044472667899,1,0.00450447655254638,0.005**,0.117116390366206,0.117,0.112846427710923,0.113,0.0585581951831029,0.059,4560,-0.18464336299896,-0.00370993113735184
A.precision.offdiag(L1L2-L2L1),1,0.380104218584188,-3.98089271828202,4.35929508419012,-4.62219014693687,4.05329612777618,0,0.763326486347934,0.763,1,1.000,1,1.000,0.880213127838057,0.880,4443,0.0974742735330505,-0.00917799436680982
A.precision.offdiag(L1L3-L3L1),1,3.35053188033493,-0.637772122791649,7.80085327761515,-0.178793869415066,8.33221946177655,0,0.0927357815446377,0.093,1,1.000,1,1.000,0.267903368906731,0.268,3978,-0.0807433597252084,-0.0101461663658941
A.precision.offdiag(L2L3-L3L2),1,2.8559965755868,-1.33511520620632,8.2784629761213,-2.11745327386002,7.62077962828076,0,0.153452831643588,0.153,1,1.000,1,1.000,0.332481135227774,0.332,4299,0.192725743077386,-0.0236498676412575
A.precision.cell_grand,1,7.81669575826907,5.47310411871906,9.78120014281112,6.16032904614942,10.5973129117984,1,0.00434024721965089,0.004**,0.112846427710923,0.113,0.112846427710923,0.113,0.0585581951831029,0.059,3579,-0.329064767886767,0.00599204336268337
